id,Chromosome,Start,End,symbol,entrezID,mean.mean.HSC,mean.mean.MPP,Difference,mean.mean.diff,mean.mean.quot.log2,comb.p.val,comb.p.adj.fdr,combinedRank,num.sites,mean.num.na.HSC,mean.num.na.MPP,mean.mean.covg.HSC,mean.mean.covg.MPP,mean.nsamples.covg.thres5.HSC,mean.nsamples.covg.thres5.MPP
ENSG00000271133,chr7,20370871,20372870,NA,101927811,1,0,1,1,6.658211483,5.63E-21,9.83E-19,130,1,2,1,0.333333333,0.666666667,0,0
ENSG00000124664,chr6,34523611,34525610,SPDEF,25803,1,0,1,1,6.658211483,5.63E-21,9.83E-19,130,1,2,1,0.333333333,0.666666667,0,0
ENSG00000242151,chr3,154373583,154375582,NA,NA,1,0,1,1,6.658211483,5.63E-21,9.83E-19,130,1,2,1,0.333333333,1,0,0
ENSG00000203527,chr22,43670461,43672460,NA,101927447,1,0,1,1,6.658211483,8.22E-18,5.75E-16,261,1,1,2,1,0.666666667,0,0
ENSG00000235725,chr2,65866812,65868811,NA,NA,1,0,1,1,6.658211483,1.54E-33,2.10E-30,12,1,2,0,0.333333333,1.666666667,0,0
ENSG00000228577,chr2,207474037,207476036,NA,NA,1,0,1,1,6.658211483,5.63E-21,9.83E-19,130,1,2,1,0.333333333,1,0,0
ENSG00000091428,chr2,173598502,173600501,RAPGEF4,11069,1,0,1,1,6.658211483,8.22E-18,5.75E-16,261,1,1,2,0.666666667,0.333333333,0,0
ENSG00000232429,chr19,34080095,34082094,RPL21P131,NA,1,0,1,1,6.658211483,5.63E-21,9.83E-19,130,2,2,2,0.333333333,0.333333333,0,0
ENSG00000208002,chr19,52783550,52785549,MIR643,693228,1,0,1,1,6.658211483,5.63E-21,9.83E-19,130,1,2,1,0.333333333,1.333333333,0,0
ENSG00000262296,chr17,9550478,9552477,NA,NA,1,0,1,1,6.658211483,6.44E-33,2.10E-30,23,1,0,2,1,0.333333333,0,0
